Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"Chia Gutiérrez, Julián †",PSOE,Sevilla,1 (II),–,1
"Chinea Correa, Fabián",ASG,La Gomera (Santa Cruz de Tenerife),–,"2 (XIII, XIV)",2
"Chiquillo Barber, José María","UV, PP",Valencia,"4 (V, VI, XI, XII)","3 (VIII, IX, X)",7
"Chivite Cornago, Carlos",PSOE,Navarra,1 (VI),"2 (VII, VIII)",3
"Chivite Navascués, María Victoria",PSOE,Navarra,–,1 (X),1
"Cholbi Diego, José","AP-PDP, CP, PP",Alicante / Cortes Valencianas,"3 (III, IV, V)","3 (II, VII, VIII)",6
"Chueca Aguinaga, Fernando",CP,Toledo,–,1 (III),1
"Chueca y Goitia, Fernando †",UCD,Toledo,–,1 (C),1
"Cid Cebrián, Miguel",PSOE,Salamanca,–,1 (II),1
"Cid Muñoz, Margarita del Carmen del",PP,Málaga,1 (X),–,1
"Cid i Pañella, Marta",ERC[1]​,Tarragona,–,1 (VII),1
"Cierva y de Hoces, Ricardo de la †",UCD,Murcia,1 (I),1 (C),2
"Cigarrán Rodil, Carlos †",PSC-PSOE,Barcelona,"2 (C, I)",–,2
"Ciluaga Arrate, José Domingo †",HB,Vizcaya,1 (III),–,1
"Cirici i Pellicer, Alexandre †",PSC-PSOE[2]​,Barcelona,–,"3 (C, I, II)",3
"Císcar Casabán, Ciprià",PSOE,Valencia,"7 (IV, V, VI, VII, VIII, IX, X)",–,7
"Cisneros Laborda, Gabriel †","UCD, PP","Soria, Burgos, Zaragoza","8 (C, I, II, IV, V, VI, VII, VIII)",–,8
"Ciuró i Buldó, Lourdes","CiU, DL, CDC",Barcelona,"3 (X, XI, XII)",–,3
"Clar Garau, Raimundo †",UCD,Baleares,1 (C),–,1
"Claría i Esteban, Amadeu †",PSC-PSOE,Lérida,–,1 (II),1
"Clavell López, Óscar",PP,Castellón,"4 (XI, XII, XIII, XIV)",–,4
"Clavero Arévalo, Manuel Francisco",UCD,Sevilla,"2 (C, I)",–,2
"Clavijo Batlle, Fernando",CC,Parlamento de Canarias,–,"2 (XIII, XIV)",2
"Clavijo García, Rafael †",AP-PDP,Santa Cruz de Tenerife,1 (II),–,1
"Clemente Giménez, Diego",C's,Almería,"2 (XI, XII)",–,2
"Clemente Guadilla, Luis Santos",PSOE,Cantabria,1 (XIII),–,1
"Clemente Muñoz, Raquel",PP-PAR,Teruel,–,"2 (XI, XII)",2
"Clemente Olivert, Antonio Ángel",PP,Cortes Valencianas,–,1 (XII),1
"Clemente Torrijos, Carlos",UCD,Cuenca,–,1 (I),1
"Cleries i Gonzàlez, Josep Lluís","CiU, DL, CDC, JxCat",Parlamento de Cataluña,–,"5 (X, XI, XII, XIII, XIV)",5
"Clos i Matheu, Joan",PSC-PSOE,Barcelona,1 (IX),–,1
"Clotas i Cierco, Salvador",PSC-PSOE,Barcelona,"7 (I, II, III, IV, V, VI, VII)",–,7
"Cobaleda Hernández, María Teresa",PP,Salamanca,1 (X),"2 (VIII, IX)",3
"Cobo Fernández, Enrique Serafín",PSOE,Granada,–,1 (VI),1
"Cobo Martín, Miguel †",PSOE,Jaén,–,"2 (I, II)",2
"Cobos Trallero, Sara",PP-PAR,Zaragoza,1 (X),–,1
"Codesal Lozano, Aniceto †","AP-PDP, CP, PP",Lugo,1 (II),"2 (III, IV)",3
"Codina i Castillo, Francesc",CiU,Parlamento de Cataluña,–,"2 (IV, V)",2
"Codina i Torres, Joan †",PSC-PSOE,Parlamento de Cataluña,–,"3 (I, II, III)",3
"Coello Fernández-Trujillo, María Mercedes",PSOE,Santa Cruz de Tenerife,"2 (VIII, IX)",–,2
"Colino Salamanca, Juan Luis",PSOE,Valladolid,"4 (C, I, II, III)",–,4
"Collado Mena, Carlos",PSOE,Murcia,–,1 (II),1
"Collarte Rodríguez, Guillermo",PP,Orense,1 (X),–,1
"Colldeforns i Sol, Maria Montserrat",PSC-PSOE,Barcelona,"2 (VIII, IX)",–,2
"Colom i Colom, Àngel","ERC, PI",Parlamento de Cataluña,–,"2 (V, VI)",2
"Colom i Naval, Joan",PSC-PSOE,Barcelona,1 (II),–,1
"Coloma Pesquera, María Mercedes",PP,Valladolid,–,"3 (VI, VII, VIII)",3
"Colomé i Farré, Víctor Manuel",PP,Parlamento de Cataluña,–,1 (IV),1
"Colsa Bueno, Félix",PP,Salamanca,–,"3 (V, VI, VII)",3
"Comorera Estarellas, Joan",ECP,Barcelona,–,"2 (XI, XII)",2
"Companys i Sanfeliu, Ramon",CiU,Lérida / Parlamento de Cataluña,"2 (VI, VII)","4 (III, IV, V, VIII)",6
"Compte Llusà, Maria Dolors",PP,Tarragona,1 (VII),–,1
"Concha García-Mauriño, María Asunción Jacoba Pía de la","Podemos, UP",Baleares,"2 (XI, XII)",–,2
"Conde Bajén, Agustín",PP,Toledo / Cortes de Castilla-La Mancha,1 (X),"4 (VI, VII, VIII, IX)",5
"Conde del Campo, Jorge Juan",PSOE,Valladolid,–,1 (IX),1
"Conde Gutiérrez del Álamo, Rosa",PSOE,"Jaén, Madrid","4 (IV, V, VI, VII)",–,4
"Conde Martínez, Gema",PP,Burgos,1 (X),–,1
"Conde Roa, Gerardo Jesús",PP,La Coruña,1 (IX),–,1
"Conde Vázquez, Matías",PP,Huelva,–,"2 (IX, X)",2
"Contestí Rosselló, Magdalena Margarita",Vox,Baleares,1 (XIII),–,1
"Contín Pellicer, Sebastián",PP,Cortes de Aragón,–,"2 (VI, VII)",2
"Contreras Guardia, Juan José †",PSOE,Jaén,–,1 (C),1
"Contreras Linares, Eduardo Javier",PP,Murcia,"2 (VI, VII)",–,2
"Contreras Olmedo, María Begoña",PP,Burgos,–,"5 (VIII, IX, X, XI, XII)",5
"Contreras Peláez, Francisco José",Vox,Sevilla,1 (XIV),–,1
"Contreras Pérez, Francisco",PSOE,Almería,"4 (III, IV, VII, VIII)",–,4
"Contreras Villar, Angustias †",PSOE,Córdoba,1 (IV),–,1
"Coquillat Durán, Fernando †",PP,Valencia,1 (VI),–,1
"Corcuera Cuesta, José Luis",PSOE,"Vizcaya, Burgos","2 (II, V)",–,2
"Corcuera Muguerza, Paulino Ramón",PNV,Parlamento Vasco,–,"2 (VIII, IX)",2
"Corcuera Orbegozo, Carlos",PSE-PSOE,Guipúzcoa,"2 (C, I)",1 (II),3
"Corcuera Plaza, Juan Carlos",PSC-PSOE,Barcelona,"3 (VIII, IX, X)",–,3
"Cordero del Campillo, Miguel †",Independiente,León,–,1 (C),1
"Córdoba Huerta, Julián",PSOE,Cuenca,–,"3 (II, III, IV)",3
"Cores Tourís, José Manuel",PP,Pontevedra,–,"3 (VII, VIII, IX)",3
"Cornejo López, Juan María",PSOE,Cádiz / Parlamento de Andalucía,–,"4 (IX, X, XI, XII)",4
"Corominas i Busqueta, Josep",PSC-PSOE,Barcelona,"2 (III, VI)",–,2
"Corominas Rivera, José Javier",PSOE,Cáceres,–,1 (VIII),1
"Corral Díez del Corral, Guillermo José del",PSOE,Parlamento de Cantabria,–,"4 (X, XI, XII, XIII)",4
"Corral Pérez, Juan Manuel",PP,Parlamento de Galicia,–,1 (VII),1
"Corral Ruiz, Lucila María",PSOE,Madrid,"3 (VIII, IX, X)",–,3
"Correa Zamora, María Auxiliadora",PP,Badajoz,–,"2 (VII, VIII)",2
"Correas Parralejo, José",PSOE,Badajoz,"2 (II, III)",–,2
"Corredor Sierra, Beatriz",PSOE,Madrid,"2 (XIII, XIV)",–,2
"Corres Vaquero, Paloma",PP,La Rioja,1 (VII),1 (VIII),2
"Cortajarena Iturrioz, Elvira",PSE-EE (PSOE),Guipúzcoa,"4 (VI, VII, VIII, IX)",–,4
"Corte Mier, José Arturo †",AP-PDP,Asturias,1 (II),–,1
"Corte Zapico, Atanasio †",ID,Asturias,–,1 (C),1
"Cortés Bureta, Pilar",PP-PAR,Zaragoza,"3 (X, XI, XII)",–,3
"Cortés Cabanillas, Valentín",PSOE,Badajoz,–,1 (XI),1
"Cortés Carballo, Mario",PP,Málaga,1 (XIV),–,1
"Cortés Fernández, Juan José",PP,Huelva,1 (XIII),–,1
"Cortès i Gès, Mirella",ERC,Barcelona / Parlamento de Cataluña,–,"4 (XI, XII, XIII, XIV)",4
"Cortés Gómez, Ismael",ECP,Tarragona,"2 (XIII, XIV)",–,2
"Cortés Martín, Miguel Ángel",PP,Valladolid,"7 (IV, V, VI, VII, VIII, IX, X)","2 (XI, XII)",9
"Cortés Muñoz, Luis Eduardo","CP, PP",Madrid / Asamblea de Madrid,1 (V),"4 (III, IV, VII, VIII)",5
"Cortijo Castilla, Inés",Podemos,Madrid,–,1 (XI),1
"Cortizo Nieto, Miguel Ángel †",PSdeG-PSOE,La Coruña,1 (X),–,1
"Coscubiela Conesa, Joan",ICV,Barcelona,1 (X),–,1
"Cosculluela Bergua, Antonio José",PSOE,Huesca,–,"2 (XIII, XIV)",2
"Cosidó Gutiérrez, Ignacio",PP,Palencia / Cortes de Castilla y León,"2 (IX, X)","3 (VIII, XII, XIII)",5
"Cospedal García, María Dolores de",PP,Toledo / Cortes de Castilla-La Mancha,"2 (XI, XII)","2 (VIII, IX)",4
"Costa Campí, María Teresa",PSC-PSOE,Barcelona,1 (VII),–,1
"Costa Climent, Juan",PP,Castellón,"5 (V, VI, VII, VIII, IX)",–,5
"Costa Costa, Antonio",PSOE,Baleares,"3 (IV, V, VI)",–,3
"Costa Palacios, María Angelina",PSOE,Córdoba,"2 (IX, X)",–,2
"Costa Sanjurjo, Pedro",CP,Barcelona,1 (III),–,1
"Costa Serra, Pilar",EFS,Ibiza-Formentera (Baleares),–,1 (VI),1
"Costas Alonso, Manuel",AP-PDP,Pontevedra,1 (II),–,1
"Costas Manzanares, María Reyes",PP,Lugo,1 (VII),–,1
"Cotelo Balmaseda, Mar",PP,La Rioja,1 (XII),–,1
"Cotillas López, Carlos Manuel",PP,Ciudad Real,1 (IX),"3 (X, XI, XII)",4
"Cotoner Goyeneche, Joaquín",PP,Baleares. Mallorca,1 (V),1 (IV),2
"Couce Pereiro, Manuel",PSdeG-PSOE,La Coruña,1 (V),–,1
"Couceiro Taboada, José Manuel",UCD,La Coruña,1 (C),–,1
"Couto Rivas, María Esther",PSdeG-PSOE,La Coruña,1 (VIII),–,1
"Coves Botella, Fuensanta",PSOE,Parlamento de Andalucía,–,1 (X),1
"Cremades Griñán, María del Carmen †",PP,Murcia,1 (V),–,1
"Cremades Mellado, José",AP-PDP-UV,Alicante,–,1 (II),1
"Cremades Sena, Jorge Francisco",PSOE,Alicante,"4 (II, III, IV, V)",–,4
"Crespín Rubio, Rafaela",PSOE,Córdoba,"2 (XIII, XIV)",–,2
"Crespo Iglesias, José",PP,Pontevedra,–,"2 (XI, XII)",2
"Crespo Martínez, María Ángeles",PP,Valencia,–,"2 (VII, IX)",2
"Crisol Lafront, Luis",C's,Cortes Valencianas,–,"3 (X, XI, XII)",3
"Cristóbal Montes, Ángel",PSOE,Zaragoza,"2 (C, I)",–,2
"Croissier Batista, Luis Carlos",PSOE,Madrid,1 (II),–,1
"Cros Palencia, Leandro",UCD,Guadalajara,1 (C),–,1
"Cruañes Molina, Asunción †",PSOE,Alicante,"5 (C, I, II, III, IV)",–,5
"Cruz García, Salvador",PP,Salamanca,–,1 (IX),1
"Cruz Hernández, Julio",PSOE,Parlamento de Canarias,–,"4 (X, XI, XII, XIII)",4
"Cruz Orive, Rubén",IU,Madrid,1 (V),–,1
"Cruz Rodríguez, Manuel",PSC-PSOE,Barcelona,1 (XII),"2 (XIII, XIV)",3
"Cruz Sagredo, Juan †",AP-PDP,Salamanca,1 (II),–,1
"Cruz Salcedo, María Inmaculada †",PSOE,Cuenca,–,1 (X),1
"Cruz Valentín, Raquel de la",PSOE,Toledo,"2 (VII, VIII)",–,2
"Cruz-Guzmán García, María Soledad",PP,Sevilla,"2 (XIII, XIV)",–,2
"Cuadra Lasarte, Sabino",Amaiur,Navarra,1 (X),–,1
"Cuadrado Abril, Juan Manuel",PSOE,Cáceres,–,1 (I),1
"Cuadrado Arroyo, Carlos",C's,Madrid,–,1 (XIII),1
"Cuadrado Bausela, Jesús",PSOE,Zamora,"3 (VII, VIII, IX)",–,3
"Cuartas Galván, Alberto Javier",UCD,Cantabria,1 (I),–,1
"Cuatrecasas Asua, Juan",PSOE,La Rioja,"2 (XIII, XIV)",–,2
"Cuatrecasas i Membrado, Llibert",CiU,Barcelona,"4 (I, II, III, IV)",–,4
"Cucó Giner, Alfons †",PSOE,Valencia,–,"5 (I, II, III, IV, V)",5
"Cuello Pérez, Carmen Rocío",PSOE,Sevilla,"2 (XI, XII)",–,2
"Cuenca Cañizares, Eduardo",IU,Asamblea de Madrid,–,"2 (VII, VIII)",2
"Cuenca Doblado, Juan †",PSOE,Granada,1 (I),"4 (II, III, IV, V)",5
"Cuenca Rico, José",PSOE,Albacete,1 (V),–,1
"Cuenca i Valero, Maria Eugènia",CiU,Barcelona,"2 (III, IV)",–,2
"Cuerda Montoya, José Ángel",PNV,Álava,"2 (C, I)",–,2
"Cuervo Fernández, José Manuel",PSOE,Asturias,–,1 (IX),1
"Cuesta Martínez, Álvaro",PSOE,Asturias,"8 (II, III, IV, V, VI, VII, VIII, IX)",–,8
"Cueto Sesmero, Jesús †",AP-PDP,Valladolid,–,1 (II),1
"Cuevas Cortés, Félix de las",PP,Cantabria,–,1 (XIV),1
"Cuevas Cuerda, Dimas Francisco",PP,Albacete,–,"2 (IX, X)",2
"Cuevas Delgado, Antonio",PSOE,Sevilla,"7 (III, IV, V, VI, VII, VIII, IX)",–,7
"Cuevas González, Andrés †",IU (PASOC),Parlamento de Andalucía,–,"2 (IV, V)",2
"Cuevas González, Justo de las",UCD,Cantabria,"2 (C, I)",–,2
"Cuevas Villoslada, Carlos",PP,Parlamento de La Rioja,–,"2 (VIII, IX)",2
"Cullell i Nadal, Josep Maria",CiU,Barcelona,"2 (I, IV)",–,2
"Cunillera Mestres, Teresa",PSC-PSOE,Lérida,"6 (II, VI, VII, VIII, IX, X)",–,6
"Cunyat i Badosa, Coralí",CiU,Parlamento de Cataluña,–,"2 (IX, X)",2
"Cuña Novás, Manuel †",PSdeG-PSOE,Pontevedra,–,"3 (II, III, IV)",3
"Curbelo Curbelo, Casimiro",PSOE,La Gomera (Santa Cruz de Tenerife),–,"5 (V, VI, VII, VIII, IX)",5
"Curiel Alonso, Enrique Federico †","IU, PSdeG-PSOE","Córdoba, Pontevedra","2 (III, V)",1 (VIII),3
"Curto i Forés, Marià",CiU,Parlamento de Cataluña,–,1 (VII),1
"Custodi Torres, Jaume †",PSC-PSOE,Tarragona,1 (II),–,1
"Dalmau Blanco, Miguel Carmelo",PSOE,Zaragoza,–,"2 (XIII, XIV)",2
"Damas Rico, Pedro Manuel",UCD,Jaén,–,1 (C),1
"Dancausa Treviño, María Concepción",PP,Madrid,1 (VII),–,1
"Dávila Sánchez, Carlos Alberto",PSOE,Madrid,"5 (II, III, IV, V, VI)",–,5
"Delgado Arce, Celso Luis",PP,Orense,"8 (VII, VIII, IX, X, XI, XII, XIII, XIV)",–,8
"Delgado Cáceres, Remigio Joel",PP,Lanzarote (Las Palmas),–,1 (XII),1
"Delgado de Jesús, Antonio José †",UCD,Córdoba,"2 (C, I)",–,2
"Delgado Díez, María Pilar",PSOE,Soria,–,"2 (XIII, XIV)",2
"Delgado García, Dolores",PSOE,Madrid,"2 (XIII, XIV)",–,2
"Delgado García, Lucía",PP,Cuenca,–,"2 (VI, VII)",2
"Delgado Jiménez, David",PSOE,Jaén,–,"2 (XI, XII)",2
"Delgado Morais, María del Carmen",PSOE,Valladolid,–,1 (II),1
"Delgado Oval, Olivia María",PSOE-NCa,Tenerife (Santa Cruz de Tenerife),–,"4 (XI, XII, XIII, XIV)",4
"Delgado Ramos, Juan Antonio","Podemos, UP",Cádiz,"3 (XI, XII, XIII)",–,3
"Delgado Ruiz, Juan Francisco",PSOE,Albacete,1 (C),1 (I),2
"Delgado Sánchez-Arjona, Manuel",UCD,Salamanca,–,"2 (C, I)",2
"Delgado Toro, Tomás Rafael",PSOE,Córdoba,–,1 (VII),1
"Delgado Vílchez, Francisco",PP,Jaén,–,1 (X),1
"Díaz Aguilar, Lorenzo",CDS,Las Palmas,"2 (III, IV)",–,2
"Díaz Berbel, José Gabriel †","AP-PDP, CP, PP",Granada,"3 (III, IV, V)","3 (II, VI, VII)",6
"Díaz Bonillo, Blas",PSOE,Almería,1 (II),"3 (III, IV, V)",4
"Díaz Caballero, Juan",PSOE,Córdoba,–,1 (XI),1
"Díaz Díaz, Honorio †",PSOE,Asturias,1 (C),"2 (I, II)",3
"Díaz Díaz, Manuel Ceferino †",PSdeG-PSOE,La Coruña,"3 (VII, VIII, IX)",–,3
"Díaz Fernández, Jesús",CP,Cantabria,–,1 (III),1
"Díaz Fornas, Jesús",PSdeG-PSOE,La Coruña,"3 (III, IV, V)",–,3
"Díaz Fuentes, Antonio †",UCD,Lugo,"3 (C, I, II)",–,3
"Díaz García, Marta Alicia",UPN-PP,Navarra,–,1 (VIII),1
"Díaz Gómez, Guillermo",C's,Málaga,"3 (XII, XIII, XIV)",–,3
"Díaz Jiménez, María Rocío",PP,Granada,–,1 (XI),1
"Díaz Mantis, Manuel Antonio",AP-PDP,Huelva,–,1 (II),1
"Díaz Marín, Raúl",PSOE,Parlamento de La Rioja,–,"2 (XIII, XIV)",2
"Díaz Muñoz, Francisco",PSOE,Cortes de Castilla y León,–,"2 (XIII, XIV)",2
"Díaz Pacheco, Susana",PSOE,Sevilla,1 (VIII),–,1
"Díaz Pérez, Yolanda","En Marea (EU), UP","La Coruña, Pontevedra","4 (XI, XII, XIII, XIV)",–,4
"Díaz Porras, Ciriaco",UCD,Cantabria,1 (I),–,1
"Díaz Pozas, Diego",PSOE,Huesca,"3 (II, III, IV)",–,3
"Díaz Rodríguez, Leticia",PP,Cantabria,–,1 (IX),1
"Díaz Sol, Ángel",PSOE,Granada,"6 (I, II, III, IV, V, VI)",1 (VII),7
"Díaz Tejera, Arcadio",PSOE,Gran Canaria (Las Palmas),–,"3 (VIII, IX, X)",3
"Díaz Torres, Juan",PSOE,Jaén,1 (C),–,1
"Díaz Trillo, José Juan",PSOE,Huelva,"2 (XI, XII)",–,2
"Díaz Vieco, María Ángeles del Pilar",PSOE,Cuenca,–,1 (IV),1
"Díaz Villanueva, María del Carmen",PP,Alicante,1 (V),–,1
"Díaz Villegas, María Gema",PP,Parlamento de Cantabria,–,"3 (V, VI, VII)",3
"Díaz-Ambrona Bardají, Adolfo †",CP,Asamblea de Extremadura,–,1 (III),1
"Díaz-Cano del Rey, Máximo Ramón",PSOE,Cuenca / Cortes de Castilla-La Mancha,"3 (VI, VII, VIII)",1 (VI),4
"Díaz-Marta y Pinilla, Manuel Lucio †",PSOE,Toledo,1 (C),"2 (I, II)",3
"Díaz-Pinés Muñoz, Manuel","UCD, AP-PDP",Ciudad Real,"2 (I, II)",–,2
"Díaz-Saavedra Morales, Nicolás †",UCD,Las Palmas,1 (C),–,1
"Díaz de Mera y García Consuegra, Agustín",PP,Ávila,1 (V),"3 (IV, VI, VII)",4
"Diego Castellanos, María Elena",PSOE,Salamanca,–,"3 (X, XIII, XIV)",3
"Diego Criado, Álvaro de",PSOE,Teruel,–,"2 (II, III)",2
"Díez González, Ignacio",PSOE,La Rioja,–,"5 (II, III, IV, V, VI)",5
"Díez González, Rosa María",UPyD,Madrid,"2 (IX, X)",–,2
"Díez López, Rosa Isabel",PP,Badajoz,1 (VI),–,1
"Díez Usabiaga, Rafael",HB,Guipúzcoa,"2 (IV, V)",–,2
"Díez-Alegría Gutiérrez, Luis †",Independiente,Designación real,–,1 (C),1
"Díez de Baldeón García, Clementina",PSOE,Ciudad Real,"4 (VI, VII, VIII, IX)",–,4
"Díez de la Lastra Barbadillo, María Isabel",PP,Alicante,"2 (VI, VII)",–,2
"Diouf Dioh, Luc André",PSOE,Las Palmas,"2 (XIII, XIV)",–,2
"Domènech Sampere, Xavier",ECP,Barcelona,"2 (XI, XII)",–,2
"Domínguez Álvarez, Marta",Podemos,Córdoba,1 (XI),–,1
"Domínguez Azpeleta, Marta",PP,Palencia,–,1 (X),1
"Domínguez García, Antonio",UCD,Ceuta,1 (C),1 (I),2
"Domínguez González, Manuel",PP,Santa Cruz de Tenerife,1 (IX),–,1
"Domínguez Hormiga, Sandra",PP-AMF,Fuerteventura (Las Palmas),–,1 (X),1
"Domínguez Paredes, María Victoria",C's,Cáceres,1 (XIII),–,1
"Domínguez de Posada Puertas, Rosa María",PP-FORO,Asturias,–,"2 (XI, XII)",2
"Donadeu Cadafalch, José †",AP-PDP,Barcelona,1 (II),–,1
"Doñate Catalán, Ricardo Clemente",PP,Teruel,–,1 (VII),1
"Dorrego González, Alberto Manuel","UCD, CDS",Ávila,–,"4 (C, I, III, IV)",4
"Duarte Cendán, José Manuel","PSP, PSOE",Cádiz,–,"3 (C, I, II)",3
"Duch Plana, Montserrat",PSC-PSOE,Parlamento de Cataluña,–,1 (VII),1
"Dueñas Herranz, Sara",PP,Segovia,1 (IX),–,1
"Dueñas Martínez, María del Carmen",PP,Melilla,"2 (XI, XII)","2 (IX, X)",4
"Duque Duque, Pedro Francisco",PSOE,Alicante,"2 (XIII, XIV)",–,2
"Durán Corsanego, Emilio",AP-PDP,La Coruña,1 (II),–,1
"Durán Fraguas, Ana Luisa",PSOE,León,–,"2 (VIII, IX)",2
"Duran i Lleida, Josep Antoni",CiU,"Lérida, Barcelona","6 (II, III, IV, VIII, IX, X)",–,6
"Durán Núñez, Alberto †","AP-PDP, CP, PP",Pontevedra,"4 (II, III, IV, V)",–,4
"Durán Pastor, Miguel †",UCD,Baleares,"2 (C, I)",–,2
"Durán Peralta, José Carlos",PSOE,Málaga,"2 (XIII, XIV)",–,2
"Durán Ramos, Eva",PP,Madrid,"2 (IX, X)",–,2
"Durán Sánchez, Inmaculada",PSOE,Córdoba,1 (VII),–,1
"Durán Vadell, Margarita",PP,Mallorca (Baleares),–,1 (X),1
"Durbán Remón, Jesús †",UCD,Almería,–,1 (C),1
"Echániz Salgado, José Ignacio",PP,"Madrid, Guadalajara","7 (VI, VIII, IX, XI, XII, XIII, XIV)",–,7
"Echanove Tuero, Ricardo",UCD,Vizcaya,1 (C),–,1
"Echávarri Fernández, Gabriel",PSOE,Alicante,1 (X),–,1
"Echeberría Monteberría, Ignacio María",PNV,"Guipúzcoa, Vizcaya","2 (II, III)",–,2
"Echenique Robba, Pablo",UP,Zaragoza,"2 (XIII, XIV)",–,2
"Echevarría Daubagna, Miguel Ángel",PP,Álava,–,1 (VI),1
"Echevarría Gangoiti, Juan †",UCD,Vizcaya,1 (C),–,1
"Echeverría Echániz, José Ignacio",PP,Asamblea de Madrid,–,"2 (VIII, IX)",2
"Edo Gil, Ana Belén",PSOE,Castellón,–,"2 (XIII, XIV)",2
"Edo Gil, Mario †",PSOE,Castellón,1 (VII),–,1
"Egea Ibáñez, Enrique",UCD,Murcia,1 (I),–,1
"Egea Serrano, Joaquín Vicente",TE,Teruel,–,1 (XIV),1
"Eguiagaray Ucelay, Juan Manuel",PSOE,Murcia,"2 (VI, VII)",–,2
"Eguíbar Rivas, Andrés",PSdeG-PSOE,La Coruña,1 (C),–,1
"Eiris Cabeza, Manuel †","CP, PP",La Coruña,"2 (III, IV)",–,2
"Eiroa García, Emilio †",PAR,Cortes de Aragón,–,"2 (III, IV)",2
"Eiros Bouza, José María",PP,Valladolid,1 (XI),–,1
"Elboj Broto, Fernando",PSOE,Huesca,–,"3 (II, III, IX)",3
"Elejabarrieta Diaz, Gorka",EH Bildu,Guipúzcoa,–,"2 (XIII, XIV)",2
"Elena Núñez, Pablo",PP-EU,Cáceres,–,1 (X),1
"Elgarrista Domeque, Concepción Rosa",PSOE,Murcia,–,1 (IV),1
"Elías Cordón, María Remedios",PSOE,La Rioja,"2 (VIII, IX)",–,2
"Elices Marcos, María José",PSC-PSOE[1]​,Tarragona,–,1 (VIII),1
"Elio Oficialdegui, Jesús María",PSOE,Navarra,1 (II),–,1
"Elizo Serrano, María Gloria","Podemos, UP","Toledo, Madrid","4 (XI, XII, XIII, XIV)",–,4
"Elkoro Unamuno, José Luis",HB,Guipúzcoa,–,"2 (IV, V)",2
"Elola Ramón, Juan Julián",PSOE,Madrid,"2 (VIII, IX)",–,2
"Elorriaga Fernández, Gabriel","AP-PDP-UV, CP, PP",Castellón,"4 (II, III, IV, V)","3 (VI, VII, VIII)",7
"Elorriaga Pisarik, Beatriz María",PP,Asamblea de Madrid,–,"2 (IX, X)",2
"Elorriaga Pisarik, Gabriel",PP,Madrid,"3 (VIII, IX, X)",–,3
"Elorriaga Zarandona, Jesús María",PNV,Vizcaya,"2 (C, I)",–,2
"Elorza González, Odón",PSE-EE (PSOE),Guipúzcoa,"5 (X, XI, XII, XIII, XIV)",–,5
"Elósegui Odriozola, Joseba †",PNV,Guipúzcoa,–,"3 (I, II, III)",3
"Enbeita Maguregi, Onintza","Amaiur, EH Bildu",Vizcaya,"2 (X, XI)",–,2
"Encina Ortega, Salvador Antonio de la",PSOE,Cádiz,"7 (VI, VII, VIII, IX, X, XI, XII)",–,7
"Encinas Casillas, Alejandro",PP,Badajoz,–,1 (VII),1
"Enciso Recio, Luis Miguel †",UCD,Valladolid,–,"2 (C, I)",2
"Enríquez González, Valeriano",UCD,Zamora,–,1 (C),1
"Erguido Cano, David",PP,Asamblea de Madrid,–,"2 (XIII, XIV)",2
"Erias Rey, Antonio",PP,La Coruña,"3 (VIII, IX, X)",–,3
"Eritja Ciuró, Francesc Xavier",ERC,Lérida,"4 (XI, XII, XIII, XIV)",–,4
"Erkoreka Gervasio, Josu Iñaki",PNV,Vizcaya,"4 (VII, VIII, IX, X)",–,4
"Errejón Galván, Íñigo","Podemos, UP, Más País",Madrid,"3 (XI, XII, XIV)",–,3
"Errekondo Saltsamendi, Xabier Mikel",Amaiur,Guipúzcoa,1 (X),–,1
"Escámez López, Alfonso †",Independiente,Designación real,–,1 (C),1
"Escandell Grases, Adelina",ERC,Parlamento de Cataluña,–,1 (XIV),1
"Escarda Escarda, Manuel",PSOE,Valladolid,–,"2 (XIII, XIV)",2
"Escartín Ipiens, José Antonio",UCD,La Rioja,1 (I),–,1
"Escobar Las Heras, Conrado",PP,La Rioja / Parlamento de La Rioja,1 (X),"3 (VI, VII, IX)",4
"Escoda i Vila, Jordi",CiU,Parlamento de Cataluña,–,"2 (I, II)",2
"Escribano de Gordo, César Augusto †",UCD,Huesca,–,1 (C),1
"Escribano Reinosa, Luis",PSOE,Burgos,"3 (II, III, IV)",–,3
"Escuder Croft, Arturo Juan †",AP-PDP,Santa Cruz de Tenerife,1 (II),–,1
"Escudero Berzal, Beatriz Marta",PP,Segovia,"4 (X, XI, XII, XIII)",1 (IX),5
"Escudero López, José Antonio",UCD,Huesca,–,1 (C),1
"Escudero Ortega, Alfonso",PSOE,Cuenca,–,"2 (XIII, XIV)",2
"Escudero Sánchez, María",PSOE,Granada,1 (VIII),1 (IX),2
"Escudero Sirerol, Martín José",PP,Menorca (Baleares),–,"2 (IV, V)",2
"Escudero Zamora, Manuel María",PSOE,Madrid,1 (VII),–,1
"Escuin Monfort, José María †","AP-PDP-UV, CP, PP",Castellón,"2 (III, IV)","4 (II, V, VI, VII)",6
"Escuredo Franco, Ángel",PP,León,"3 (V, VI, VII)",–,3
"Escuredo Rodríguez, Rafael",PSOE,Sevilla,"2 (C, I)",–,2
"Escutia Dotti, José Luis",PP,Huesca,–,1 (VII),1
"Esnaola Etxeberri, Iñaki",HB,Guipúzcoa,"3 (II, III, IV)",–,3
"Espadas Cejas, Juan",PSOE,Parlamento de Andalucía,–,"2 (IX, X)",2
