Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"Aizpún Tuero, Jesús †","UCD, UPN, AP-PDP, CP, UPN-PP",Navarra,"6 (C, I, II, III, IV, V)",–,6
"Aizpurua Arzallus, Mertxe",EH Bildu,Guipúzcoa,"2 (XIII, XIV)",–,2
"Aizpurua Egaña, Itziar",HB,Guipúzcoa,"2 (III, IV)",–,2
"Aja Mariño, César","CP, PP",Lugo,"2 (III, IV)","4 (V, VI, VII, VIII)",6
"Aja Muela, Isaac",PSOE,Parlamento de Cantabria,–,1 (III),1
"Ajuriaguerra Ochandiano, Juan de †",PNV,Vizcaya,1 (C),–,1
"Alarcó Hernández, Antonio",PP,Tenerife (Santa Cruz de Tenerife),–,"6 (IX, X, XI, XII, XIII, XIV)",6
"Alarcón Molina, José","AP-PDP, CP, PP",Albacete,1 (VI),"2 (II, III)",3
"Alava Aguirre, José Miguel †",UCD,Cantabria,1 (C),–,1
"Álava Jiménez, Francisco †",PSOE,Navarra,–,"2 (II, III)",2
"Alavedra i Moner, Macià †","PDC, CiU",Barcelona,"3 (C, I, III)",–,3
"Alba Castiñeira, María José de",PP,Cádiz,–,"2 (XI, XII)",2
"Alba Goveli, Nayua Miriam","Podemos, UP",Guipúzcoa,"2 (XI, XII)",–,2
"Alba Mullor, María Dolores",PP,Alicante,1 (XII),–,1
"Albaladejo Lucas, José Antonio",PP,Murcia,–,1 (IV),1
"Albaladejo Martínez, Joaquín",PP,Alicante,"2 (XI, XII)",–,2
"Albendea Pabón, Juan Manuel",PP,Sevilla,"5 (VI, VII, VIII, IX, X)",–,5
"Alberdi Alonso, Cristina",PSOE,"Málaga, Madrid","2 (VI, VII)",–,2
"Alberdi Alonso, Isabel",PSOE,Madrid,"2 (IV, V)",–,2
"Alberich Cano, Judith",PSC-PSOE[1]​,Tarragona,–,1 (IX),1
"Albero Silla, Vicente",PSOE,Valencia,"2 (IV, V)",–,2
"Albert Sanjosé, José Alfonso †",PSOE,Cortes Valencianas,–,"2 (II, III)",2
"Alberti y Merello, Rafael †",PCE,Cádiz,1 (C),–,1
"Albertí Picornell, Jerónimo",UCD,Mallorca (Baleares),–,"2 (C, I)",2
"Alberto Pérez, Celia",PP,Las Palmas,"2 (X, XII)",–,2
"Albiach Chisbert, Miguel Ramón",PP,Valencia,1 (VII),–,1
"Albiñana Calatayud, Juan","CP, PP",Valencia,1 (IV),1 (III),2
"Albiñana Olmos, Josep Lluís",PSOE,Valencia,"2 (C, I)",–,2
"Albistur Marín, Francisco Xabier","EA, PNV",Guipúzcoa,1 (V),"3 (VI, VII, VIII)",4
"Alborch Bataller, Carmen †",PSOE,Valencia,"3 (VI, VII, VIII)","2 (IX, X)",5
"Alcalá Gómez, Luis †",PSOE,Castellón,–,"2 (II, III)",2
"Alcalde Linares, Ángel",HB,Vizcaya,1 (IV),–,1
"Alcalde Sánchez, Gustavo-Adolfo",PP,Zaragoza / Cortes de Aragón,1 (VI),"5 (V, VII, VIII, IX, X)",6
"Alcaraz Abellán, José",PSOE,Parlamento de Canarias,–,"2 (VIII, IX)",2
"Alcaraz Martos, Francisco José",Vox,Jaén / Parlamento de Andalucía,1 (XIV),"2 (XII, XIII)",3
"Alcaraz Masats, Luis Felipe","PCE, IU","Jaén, Sevilla","4 (I, V, VI, VII)",–,4
"Alcaraz Ramos, Manuel Francisco",IU-EUPV,Alicante,1 (VI),–,1
"Alcázar Escribano, María Angustias",PSOE,Cuenca,1 (VIII),–,1
"Alcón Sáez, Fernando †","UCD, CDS",Ávila,"2 (C, I)",1 (IV),3
"Alconchel Gonzaga, Miriam",PSOE,Cádiz,"2 (XI, XII)",–,2
"Aldea Gómez, Rosa María",PSOE,Palencia,–,"4 (XI, XII, XIII, XIV)",4
"Aldecoa Azarloza, José Ignacio",HB,Navarra,1 (III),–,1
"Aldudo Sáez, Julián",PSOE,Ávila,–,1 (II),1
"Aledo Martínez, Josefa",PSOE,Murcia,1 (VI),–,1
"Alegre Buxeda, Francesc Xavier",C's,Parlamento de Cataluña,–,"4 (XI, XII, XIII, XIV)",4
"Alegre Escuder, José Luis",PSOE,Teruel,–,"3 (V, VI, VII)",3
"Alegre Galilea, Luis Ángel",PP,La Rioja,"2 (IV, V)",–,2
"Alegre i Selga, Lluís",CiU,Barcelona,1 (III),–,1
"Alegría Continente, María Pilar",PSOE,Zaragoza,"2 (IX, X)",–,2
"Aleixandre i Cerarols, Rosa Núria",CiU,Gerona,–,"2 (VIII, IX)",2
"Alejandre Úbeda, Violeta Esperanza",PSOE,Badajoz,–,1 (III),1
"Alemán Guedes, María del Pino",Podemos,Gran Canaria (Las Palmas),–,1 (XI),1
"Alemany i Roca, Joaquima",CiU,Barcelona,1 (V),1 (IV),2
"Alés Pérez, Eugenio †",UCD,Sevilla,1 (C),–,1
"Aleu i Jornet, Ramón",PSC-PSOE[1]​,Tarragona,–,"5 (V, VI, VII, VIII, IX)",5
"Alfonso Cendón, Javier",PSOE,León,"2 (XIII, XIV)",–,2
"Alfonso Pérez, Juan",PSOE,Las Palmas,"2 (II, III)",–,2
"Alfonso Quirós, Antonio Juan",UCD,Santa Cruz de Tenerife,1 (I),–,1
"Algaba Soler, Carlos Alberto",PP,Cuenca,–,"2 (XI, XII)",2
"Alía Aguado, María Pilar",PP,Toledo,–,1 (XIV),1
"Alierta Izuel, Mariano","UCD, CP, PP",Zaragoza,"2 (C, I)","4 (III, IV, V, VI)",6
"Alique López, Jesús",PSOE,Guadalajara,1 (IX),1 (X),2
"Alli Martínez, Íñigo Jesús",UPN-PP,Navarra,"2 (XI, XII)",–,2
"Almagro Castro, Higinio",PSOE,Granada,1 (IX),–,1
"Almeida Castro, María Cristina","IU, PDNI",Madrid / Asamblea de Madrid,"2 (IV, VI)","2 (VI, VII)",4
"Almiñana Riqué, Mònica",PSC-PSOE,Barcelona,–,1 (X),1
"Almodóbar Barceló, Agustín",PP,Alicante,"2 (XIII, XIV)","4 (IX, X, XI, XII)",6
